0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1390, 1405, 1410, 1410, 1400, 1403, 1401, 1407, 1401, 1413, 1411,1398, 1389, 1386, 1300, 1395
902,  921,  912,  919, 913,  915,  913, 920, 913, 914, 920,918, 919,  918,  912,  906
545, 571, 593, 571, 552, 576, 590, 552, 590, 580, 590, 585, 568,568, 574, 547
417, 400, 412, 382, 417, 391, 413, 409, 430, 380, 405, 430, 400,408, 386, 421
305, 269, 318, 269, 273, 273, 272, 323, 269, 312, 274, 288, 293,307, 311, 260
183, 167, 188, 167, 195, 182, 162, 164, 202, 188, 183, 192, 164,197, 168, 198
119, 111, 121, 115, 116, 119, 121, 121, 117, 108, 107, 113, 111,106, 105, 120
88, 97, 88, 87, 83, 91, 92, 92, 97, 85, 91, 86, 92, 86, 90, 96
66,64,62,66,67,73,62,69,65,64,71,64,63,58,67,60
57, 54, 60, 55, 54, 56, 58, 61, 53, 53, 56, 62, 54, 55, 57, 54
49,41,41,46,50,40,49,39,43,43,43,44,45,43,37,42
37,37,36,38,40,35,38,39,36,46,38,38,36,41,39,34
36,32,29,29,33,31,31,28,33,32,31,34,30,35,35,33
25,31,24,26,27,23,21,21,25,25,26,22,24,26,28,24
23,21,21,23,20,22,18,19,22,22,17,22,17,21,17,22
17,16,15,15,17,17,16,16,17,15,17,16,17,15,16,17
16,15,16,15,15,15,16,18,15,17,16,17,15,16,16,16
16,16,16,17,17,15,18,16,16,17,17,17,18,18,16,17
16,17,15,16,16,14,15,16,15,16,15,15,17,16,17,17
14, 16, 14, 15, 14, 16, 14, 15, 15, 16, 16, 15, 15, 15, 14, 15
14, 14, 14, 15, 14, 14, 14, 14, 15, 14, 14, 14, 15, 15, 14, 14